77 hits shown

192,-25,29,-508
194,-22,29,-509
196,-24,27,-512
198,-22,31,-511
200,-23,29,-507
201,-26,28,-512
203,-23,30,-511
205,-25,27,-507
207,-22,28,-507
209,-22,27,-509
210,-24,27,-511
212,-25,27,-509
215,-24,26,-509
217,-25,29,-512
219,-25,28,-511
221,-22,27,-510
222,-23,27,-510
224,-23,29,-510
226,-23,28,-513
228,-24,29,-509
230,-29,28,-510
232,-25,26,-514
233,-22,29,-513
235,-24,26,-512
237,-26,27,-509
239,-25,27,-505
241,-24,26,-510
243,-24,24,-511
244,-24,26,-507
246,-24,29,-509
248,-23,25,-505
250,-24,29,-511
252,-22,27,-510
253,-24,28,-513
256,-24,29,-512
258,-25,26,-510
260,-23,28,-508
262,-25,28,-510
264,-25,29,-511
265,-25,31,-509
267,-25,27,-509
269,-24,31,-516
271,-26,26,-508
273,-23,26,-507
275,-25,27,-508
276,-23,27,-508
278,-25,30,-513
280,-26,29,-511
282,-25,26,-510
284,-24,30,-511
286,-25,26,-513
287,-25,31,-510
289,-23,27,-509
291,-25,28,-508
293,-23,25,-509
295,-24,29,-511
296,-24,27,-511
299,-24,29,-508
301,-25,31,-512
303,-24,29,-512
305,-24,29,-511
307,-25,26,-510
308,-23,26,-507
310,-24,26,-510
312,-24,27,-511
314,-25,27,-509
316,-25,31,-510
318,-25,28,-509
319,-23,25,-510
321,-22,29,-509
323,-22,27,-512
325,-22,28,-510
327,-27,27,-511
329,-25,28,-509
330,-25,27,-510
332,-23,29,-512
334,-25,28,-511
336,-25,27,-510
338,-24,28,-513
340,-24,29,-508
342,-24,26,-510
344,-23,26,-507
346,-21,28,-512
348,-24,27,-510
350,-26,27,-510
351,-22,28,-512
353,-23,29,-511
355,-22,26,-512
357,-22,29,-510
359,-23,30,-512
361,-24,28,-511
362,-24,29,-510
364,-25,28,-510
366,-21,28,-507
368,-24,29,-509
370,-21,30,-508
372,-25,29,-510
373,-25,27,-506
375,-23,28,-509
377,-24,26,-510
379,-23,32,-511
381,-25,26,-511
384,-25,29,-511
385,-27,30,-511
387,-22,30,-509
389,-25,28,-510
391,-24,28,-511
393,-24,30,-509
395,-26,27,-510
396,-26,32,-509
398,-24,29,-510
400,-24,31,-511
402,-23,27,-510
404,-25,25,-512
405,-26,26,-510
407,-24,28,-507
409,-25,26,-508
411,-25,29,-508
413,-26,28,-510
415,-23,28,-511
416,-24,28,-513
418,-26,28,-510
420,-26,30,-508
422,-24,29,-507
424,-24,30,-511
427,-23,28,-509
428,-23,28,-509
430,-26,26,-511
432,-22,25,-511
434,-21,27,-509
436,-24,30,-511
438,-22,27,-509
439,-24,28,-511
441,-24,28,-511
